fips_from,fips_to,year_from,year_to,weight,change_type,notes,weight_source
08059,08059,1990,2000,1,stable,Jefferson County,identity
08059,08014,2001,2023,0.15,split,Parts of Jefferson County to Broomfield,doc_transfer
08059,08059,2001,2023,0.85,remainder,Jefferson County (remaining),doc_transfer
08123,08123,1990,2000,1,stable,Weld County,identity
08123,08014,2001,2023,0.1,split,Parts of Weld County to Broomfield,doc_transfer
08123,08123,2001,2023,0.9,remainder,Weld County (remaining),doc_transfer
09001,09901,1990,2019,1,stable,Fairfield County,identity
09001,09911,2020,2023,0.65,cog_transition,Fairfield County → Western Connecticut COG,approx
09001,09913,2020,2023,0.35,cog_transition,Fairfield County → Metropolitan COG,approx
09003,09903,1990,2019,1,stable,Hartford County,identity
09003,09914,2020,2023,0.8,cog_transition,Hartford County → Capitol Region COG,approx
09003,09912,2020,2023,0.2,cog_transition,Hartford County → Other COGs,approx
09005,09915,2020,2023,1,cog_transition,Litchfield County → Northwest Hills COG,identity
09007,09916,2020,2023,1,cog_transition,Middlesex County → Lower CT River Valley COG,identity
09009,09917,2020,2023,1,cog_transition,New Haven County → South Central COG,identity
09011,09918,2020,2023,1,cog_transition,New London County → Southeastern CT COG,identity
09013,09919,2020,2023,1,cog_transition,Tolland County → Capitol Region East COG,identity
09015,09920,2020,2023,1,cog_transition,Windham County → Northeastern CT COG,identity
101,101,1970,2023,1,stable,No changes,identity
103,103,1970,2023,1,stable,No changes,identity
105,105,1970,2023,1,stable,No changes,identity
11,11,1970,2023,1,stable,No changes,identity
1101,1101,1970,2023,1,stable,No changes,identity
1103,1103,1970,2023,1,stable,No changes,identity
1105,1105,1970,2023,1,stable,No changes,identity
1107,1107,1970,2023,1,stable,No changes,identity
1109,1109,1970,2023,1,stable,No changes,identity
111,111,1970,2023,1,stable,No changes,identity
111,111,1970,2023,1,stable,No changes,identity
1111,1111,1970,2023,1,stable,No changes,identity
1113,1113,1970,2023,1,stable,No changes,identity
1115,1115,1970,2023,1,stable,No changes,identity
1117,1117,1970,2023,1,stable,No changes,identity
1119,1119,1970,2023,1,stable,No changes,identity
1121,1121,1970,2023,1,stable,No changes,identity
1123,1123,1970,2023,1,stable,No changes,identity
1125,1125,1970,2023,1,stable,No changes,identity
1127,1127,1970,2023,1,stable,No changes,identity
1129,1129,1970,2023,1,stable,No changes,identity
113,113,1970,2023,1,stable,No changes,identity
1131,1131,1970,2023,1,stable,No changes,identity
1133,1133,1970,2023,1,stable,No changes,identity
115,115,1970,2023,1,stable,No changes,identity
117,117,1970,2023,1,stable,No changes,identity
119,119,1970,2023,1,stable,No changes,identity
12025,12025,1990,1996,1,stable,Dade County,identity
12025,12086,1997,2023,1,rename,Dade County -> Miami-Dade County,identity
12027,12027,1970,2023,1,name_correction,"De Soto County -> DeSoto County, FL",identity
121,121,1970,2023,1,stable,No changes,identity
121,121,1970,2023,1,stable,No changes,identity
12101,12101,1970,2023,1,stable,No changes,identity
12103,12103,1970,2023,1,stable,No changes,identity
12105,12105,1970,2023,1,stable,No changes,identity
12107,12107,1970,2023,1,stable,No changes,identity
12109,12109,1970,2023,1,stable,No changes,identity
1211,1211,1970,2023,1,stable,No changes,identity
12111,12111,1970,2023,1,stable,No changes,identity
12113,12113,1970,2023,1,stable,No changes,identity
12115,12115,1970,2023,1,stable,No changes,identity
12117,12117,1970,2023,1,stable,No changes,identity
12119,12119,1970,2023,1,stable,No changes,identity
12121,12121,1970,2023,1,stable,No changes,identity
12123,12123,1970,2023,1,stable,No changes,identity
12125,12125,1970,2023,1,stable,No changes,identity
12127,12127,1970,2023,1,stable,No changes,identity
12129,12129,1970,2023,1,stable,No changes,identity
1213,1213,1970,2023,1,stable,No changes,identity
12131,12131,1970,2023,1,stable,No changes,identity
12133,12133,1970,2023,1,stable,No changes,identity
1215,1215,1970,2023,1,stable,No changes,identity
1217,1217,1970,2023,1,stable,No changes,identity
1219,1219,1970,2023,1,stable,No changes,identity
1221,1221,1970,2023,1,stable,No changes,identity
1223,1223,1970,2023,1,stable,No changes,identity
1227,1227,1970,2023,1,stable,No changes,identity
1229,1229,1970,2023,1,stable,No changes,identity
123,123,1970,2023,1,stable,No changes,identity
123,123,1970,2023,1,stable,No changes,identity
1231,1231,1970,2023,1,stable,No changes,identity
1233,1233,1970,2023,1,stable,No changes,identity
1235,1235,1970,2023,1,stable,No changes,identity
1237,1237,1970,2023,1,stable,No changes,identity
1239,1239,1970,2023,1,stable,No changes,identity
1241,1241,1970,2023,1,stable,No changes,identity
1243,1243,1970,2023,1,stable,No changes,identity
1245,1245,1970,2023,1,stable,No changes,identity
1247,1247,1970,2023,1,stable,No changes,identity
1249,1249,1970,2023,1,stable,No changes,identity
125,125,1970,2023,1,stable,No changes,identity
125,125,1970,2023,1,stable,No changes,identity
1251,1251,1970,2023,1,stable,No changes,identity
1253,1253,1970,2023,1,stable,No changes,identity
1255,1255,1970,2023,1,stable,No changes,identity
1257,1257,1970,2023,1,stable,No changes,identity
1259,1259,1970,2023,1,stable,No changes,identity
1261,1261,1970,2023,1,stable,No changes,identity
1263,1263,1970,2023,1,stable,No changes,identity
1265,1265,1970,2023,1,stable,No changes,identity
1267,1267,1970,2023,1,stable,No changes,identity
1269,1269,1970,2023,1,stable,No changes,identity
127,127,1970,2023,1,stable,No changes,identity
127,127,1970,2023,1,stable,No changes,identity
1271,1271,1970,2023,1,stable,No changes,identity
1273,1273,1970,2023,1,stable,No changes,identity
1275,1275,1970,2023,1,stable,No changes,identity
1277,1277,1970,2023,1,stable,No changes,identity
1279,1279,1970,2023,1,stable,No changes,identity
1281,1281,1970,2023,1,stable,No changes,identity
1283,1283,1970,2023,1,stable,No changes,identity
1285,1285,1970,2023,1,stable,No changes,identity
1286,1286,1970,2023,1,stable,No changes,identity
1287,1287,1970,2023,1,stable,No changes,identity
1289,1289,1970,2023,1,stable,No changes,identity
129,129,1970,2023,1,stable,No changes,identity
129,129,1970,2023,1,stable,No changes,identity
1291,1291,1970,2023,1,stable,No changes,identity
1293,1293,1970,2023,1,stable,No changes,identity
1295,1295,1970,2023,1,stable,No changes,identity
1297,1297,1970,2023,1,stable,No changes,identity
1299,1299,1970,2023,1,stable,No changes,identity
13,13,1970,2023,1,stable,No changes,identity
13089,13089,1970,2023,1,name_correction,"De Kalb County -> DeKalb County, GA",identity
131,131,1970,2023,1,stable,No changes,identity
131,131,1970,2023,1,stable,No changes,identity
13101,13101,1970,2023,1,stable,No changes,identity
13103,13103,1970,2023,1,stable,No changes,identity
13105,13105,1970,2023,1,stable,No changes,identity
13107,13107,1970,2023,1,stable,No changes,identity
13109,13109,1970,2023,1,stable,No changes,identity
1311,1311,1970,2023,1,stable,No changes,identity
13111,13111,1970,2023,1,stable,No changes,identity
13113,13113,1970,2023,1,stable,No changes,identity
13115,13115,1970,2023,1,stable,No changes,identity
13117,13117,1970,2023,1,stable,No changes,identity
13119,13119,1970,2023,1,stable,No changes,identity
13121,13121,1970,2023,1,stable,No changes,identity
13123,13123,1970,2023,1,stable,No changes,identity
13125,13125,1970,2023,1,stable,No changes,identity
13127,13127,1970,2023,1,stable,No changes,identity
13129,13129,1970,2023,1,stable,No changes,identity
1313,1313,1970,2023,1,stable,No changes,identity
13131,13131,1970,2023,1,stable,No changes,identity
13133,13133,1970,2023,1,stable,No changes,identity
13135,13135,1970,2023,1,stable,No changes,identity
13137,13137,1970,2023,1,stable,No changes,identity
13139,13139,1970,2023,1,stable,No changes,identity
13141,13141,1970,2023,1,stable,No changes,identity
13143,13143,1970,2023,1,stable,No changes,identity
13145,13145,1970,2023,1,stable,No changes,identity
13147,13147,1970,2023,1,stable,No changes,identity
13149,13149,1970,2023,1,stable,No changes,identity
1315,1315,1970,2023,1,stable,No changes,identity
13151,13151,1970,2023,1,stable,No changes,identity
13153,13153,1970,2023,1,stable,No changes,identity
13155,13155,1970,2023,1,stable,No changes,identity
13157,13157,1970,2023,1,stable,No changes,identity
13159,13159,1970,2023,1,stable,No changes,identity
13161,13161,1970,2023,1,stable,No changes,identity
13163,13163,1970,2023,1,stable,No changes,identity
13165,13165,1970,2023,1,stable,No changes,identity
13167,13167,1970,2023,1,stable,No changes,identity
13169,13169,1970,2023,1,stable,No changes,identity
1317,1317,1970,2023,1,stable,No changes,identity
13171,13171,1970,2023,1,stable,No changes,identity
13173,13173,1970,2023,1,stable,No changes,identity
13175,13175,1970,2023,1,stable,No changes,identity
13177,13177,1970,2023,1,stable,No changes,identity
13179,13179,1970,2023,1,stable,No changes,identity
13181,13181,1970,2023,1,stable,No changes,identity
13183,13183,1970,2023,1,stable,No changes,identity
13185,13185,1970,2023,1,stable,No changes,identity
13187,13187,1970,2023,1,stable,No changes,identity
13189,13189,1970,2023,1,stable,No changes,identity
1319,1319,1970,2023,1,stable,No changes,identity
13191,13191,1970,2023,1,stable,No changes,identity
13193,13193,1970,2023,1,stable,No changes,identity
13195,13195,1970,2023,1,stable,No changes,identity
13197,13197,1970,2023,1,stable,No changes,identity
13199,13199,1970,2023,1,stable,No changes,identity
13201,13201,1970,2023,1,stable,No changes,identity
13205,13205,1970,2023,1,stable,No changes,identity
13207,13207,1970,2023,1,stable,No changes,identity
13209,13209,1970,2023,1,stable,No changes,identity
1321,1321,1970,2023,1,stable,No changes,identity
13211,13211,1970,2023,1,stable,No changes,identity
13213,13213,1970,2023,1,stable,No changes,identity
13215,13215,1970,2023,1,stable,No changes,identity
13217,13217,1970,2023,1,stable,No changes,identity
13219,13219,1970,2023,1,stable,No changes,identity
13221,13221,1970,2023,1,stable,No changes,identity
13223,13223,1970,2023,1,stable,No changes,identity
13225,13225,1970,2023,1,stable,No changes,identity
13227,13227,1970,2023,1,stable,No changes,identity
13229,13229,1970,2023,1,stable,No changes,identity
1323,1323,1970,2023,1,stable,No changes,identity
13231,13231,1970,2023,1,stable,No changes,identity
13233,13233,1970,2023,1,stable,No changes,identity
13235,13235,1970,2023,1,stable,No changes,identity
13237,13237,1970,2023,1,stable,No changes,identity
13239,13239,1970,2023,1,stable,No changes,identity
13241,13241,1970,2023,1,stable,No changes,identity
13243,13243,1970,2023,1,stable,No changes,identity
13245,13245,1970,2023,1,stable,No changes,identity
13247,13247,1970,2023,1,stable,No changes,identity
13249,13249,1970,2023,1,stable,No changes,identity
1325,1325,1970,2023,1,stable,No changes,identity
13251,13251,1970,2023,1,stable,No changes,identity
13253,13253,1970,2023,1,stable,No changes,identity
13255,13255,1970,2023,1,stable,No changes,identity
13257,13257,1970,2023,1,stable,No changes,identity
13259,13259,1970,2023,1,stable,No changes,identity
13261,13261,1970,2023,1,stable,No changes,identity
13263,13263,1970,2023,1,stable,No changes,identity
13265,13265,1970,2023,1,stable,No changes,identity
13267,13267,1970,2023,1,stable,No changes,identity
13269,13269,1970,2023,1,stable,No changes,identity
1327,1327,1970,2023,1,stable,No changes,identity
13271,13271,1970,2023,1,stable,No changes,identity
13273,13273,1970,2023,1,stable,No changes,identity
13275,13275,1970,2023,1,stable,No changes,identity
13277,13277,1970,2023,1,stable,No changes,identity
13279,13279,1970,2023,1,stable,No changes,identity
13281,13281,1970,2023,1,stable,No changes,identity
13283,13283,1970,2023,1,stable,No changes,identity
13285,13285,1970,2023,1,stable,No changes,identity
13287,13287,1970,2023,1,stable,No changes,identity
13289,13289,1970,2023,1,stable,No changes,identity
1329,1329,1970,2023,1,stable,No changes,identity
13291,13291,1970,2023,1,stable,No changes,identity
13293,13293,1970,2023,1,stable,No changes,identity
13295,13295,1970,2023,1,stable,No changes,identity
13297,13297,1970,2023,1,stable,No changes,identity
13299,13299,1970,2023,1,stable,No changes,identity
133,133,1970,2023,1,stable,No changes,identity
133,133,1970,2023,1,stable,No changes,identity
13301,13301,1970,2023,1,stable,No changes,identity
13303,13303,1970,2023,1,stable,No changes,identity
13305,13305,1970,2023,1,stable,No changes,identity
13307,13307,1970,2023,1,stable,No changes,identity
13309,13309,1970,2023,1,stable,No changes,identity
1331,1331,1970,2023,1,stable,No changes,identity
13311,13311,1970,2023,1,stable,No changes,identity
13313,13313,1970,2023,1,stable,No changes,identity
13315,13315,1970,2023,1,stable,No changes,identity
13317,13317,1970,2023,1,stable,No changes,identity
13319,13319,1970,2023,1,stable,No changes,identity
13321,13321,1970,2023,1,stable,No changes,identity
1333,1333,1970,2023,1,stable,No changes,identity
1335,1335,1970,2023,1,stable,No changes,identity
1337,1337,1970,2023,1,stable,No changes,identity
1339,1339,1970,2023,1,stable,No changes,identity
1343,1343,1970,2023,1,stable,No changes,identity
1345,1345,1970,2023,1,stable,No changes,identity
1347,1347,1970,2023,1,stable,No changes,identity
1349,1349,1970,2023,1,stable,No changes,identity
135,135,1970,2023,1,stable,No changes,identity
135,135,1970,2023,1,stable,No changes,identity
1351,1351,1970,2023,1,stable,No changes,identity
1353,1353,1970,2023,1,stable,No changes,identity
1355,1355,1970,2023,1,stable,No changes,identity
1357,1357,1970,2023,1,stable,No changes,identity
1359,1359,1970,2023,1,stable,No changes,identity
1361,1361,1970,2023,1,stable,No changes,identity
1363,1363,1970,2023,1,stable,No changes,identity
1365,1365,1970,2023,1,stable,No changes,identity
1367,1367,1970,2023,1,stable,No changes,identity
1369,1369,1970,2023,1,stable,No changes,identity
137,137,1970,2023,1,stable,No changes,identity
137,137,1970,2023,1,stable,No changes,identity
1371,1371,1970,2023,1,stable,No changes,identity
1373,1373,1970,2023,1,stable,No changes,identity
1375,1375,1970,2023,1,stable,No changes,identity
1377,1377,1970,2023,1,stable,No changes,identity
1379,1379,1970,2023,1,stable,No changes,identity
1381,1381,1970,2023,1,stable,No changes,identity
1383,1383,1970,2023,1,stable,No changes,identity
1385,1385,1970,2023,1,stable,No changes,identity
1387,1387,1970,2023,1,stable,No changes,identity
1389,1389,1970,2023,1,stable,No changes,identity
139,139,1970,2023,1,stable,No changes,identity
139,139,1970,2023,1,stable,No changes,identity
1391,1391,1970,2023,1,stable,No changes,identity
1393,1393,1970,2023,1,stable,No changes,identity
1395,1395,1970,2023,1,stable,No changes,identity
1397,1397,1970,2023,1,stable,No changes,identity
1399,1399,1970,2023,1,stable,No changes,identity
141,141,1970,2023,1,stable,No changes,identity
143,143,1970,2023,1,stable,No changes,identity
145,145,1970,2023,1,stable,No changes,identity
147,147,1970,2023,1,stable,No changes,identity
149,149,1970,2023,1,stable,No changes,identity
15,15,1970,2023,1,stable,No changes,identity
151,151,1970,2023,1,stable,No changes,identity
151,151,1970,2023,1,stable,No changes,identity
153,153,1970,2023,1,stable,No changes,identity
153,153,1970,2023,1,stable,No changes,identity
155,155,1970,2023,1,stable,No changes,identity
155,155,1970,2023,1,stable,No changes,identity
157,157,1970,2023,1,stable,No changes,identity
157,157,1970,2023,1,stable,No changes,identity
159,159,1970,2023,1,stable,No changes,identity
159,159,1970,2023,1,stable,No changes,identity
161,161,1970,2023,1,stable,No changes,identity
161,161,1970,2023,1,stable,No changes,identity
1611,1611,1970,2023,1,stable,No changes,identity
1613,1613,1970,2023,1,stable,No changes,identity
1615,1615,1970,2023,1,stable,No changes,identity
1617,1617,1970,2023,1,stable,No changes,identity
1619,1619,1970,2023,1,stable,No changes,identity
1621,1621,1970,2023,1,stable,No changes,identity
1623,1623,1970,2023,1,stable,No changes,identity
1625,1625,1970,2023,1,stable,No changes,identity
1627,1627,1970,2023,1,stable,No changes,identity
1629,1629,1970,2023,1,stable,No changes,identity
163,163,1970,2023,1,stable,No changes,identity
163,163,1970,2023,1,stable,No changes,identity
1631,1631,1970,2023,1,stable,No changes,identity
1633,1633,1970,2023,1,stable,No changes,identity
1635,1635,1970,2023,1,stable,No changes,identity
1637,1637,1970,2023,1,stable,No changes,identity
1639,1639,1970,2023,1,stable,No changes,identity
1641,1641,1970,2023,1,stable,No changes,identity
1643,1643,1970,2023,1,stable,No changes,identity
1645,1645,1970,2023,1,stable,No changes,identity
1647,1647,1970,2023,1,stable,No changes,identity
1649,1649,1970,2023,1,stable,No changes,identity
165,165,1970,2023,1,stable,No changes,identity
165,165,1970,2023,1,stable,No changes,identity
1651,1651,1970,2023,1,stable,No changes,identity
1653,1653,1970,2023,1,stable,No changes,identity
1655,1655,1970,2023,1,stable,No changes,identity
1657,1657,1970,2023,1,stable,No changes,identity
1659,1659,1970,2023,1,stable,No changes,identity
1661,1661,1970,2023,1,stable,No changes,identity
1663,1663,1970,2023,1,stable,No changes,identity
1665,1665,1970,2023,1,stable,No changes,identity
1667,1667,1970,2023,1,stable,No changes,identity
1669,1669,1970,2023,1,stable,No changes,identity
167,167,1970,2023,1,stable,No changes,identity
167,167,1970,2023,1,stable,No changes,identity
1671,1671,1970,2023,1,stable,No changes,identity
1673,1673,1970,2023,1,stable,No changes,identity
1675,1675,1970,2023,1,stable,No changes,identity
1677,1677,1970,2023,1,stable,No changes,identity
1679,1679,1970,2023,1,stable,No changes,identity
1681,1681,1970,2023,1,stable,No changes,identity
1683,1683,1970,2023,1,stable,No changes,identity
1685,1685,1970,2023,1,stable,No changes,identity
1687,1687,1970,2023,1,stable,No changes,identity
169,169,1970,2023,1,stable,No changes,identity
169,169,1970,2023,1,stable,No changes,identity
17,17,1970,2023,1,stable,No changes,identity
17037,17037,1970,2023,1,name_correction,"De Kalb County -> DeKalb County, IL",identity
17043,17043,1970,2023,1,name_correction,"Du Page County -> DuPage County, IL",identity
17099,17099,1970,2023,1,name_correction,"La Salle County -> LaSalle County, IL",identity
171,171,1970,2023,1,stable,No changes,identity
171,171,1970,2023,1,stable,No changes,identity
17101,17101,1970,2023,1,stable,No changes,identity
17103,17103,1970,2023,1,stable,No changes,identity
17105,17105,1970,2023,1,stable,No changes,identity
17107,17107,1970,2023,1,stable,No changes,identity
17109,17109,1970,2023,1,stable,No changes,identity
1711,1711,1970,2023,1,stable,No changes,identity
17111,17111,1970,2023,1,stable,No changes,identity
17113,17113,1970,2023,1,stable,No changes,identity
17115,17115,1970,2023,1,stable,No changes,identity
17117,17117,1970,2023,1,stable,No changes,identity
17119,17119,1970,2023,1,stable,No changes,identity
17121,17121,1970,2023,1,stable,No changes,identity
17123,17123,1970,2023,1,stable,No changes,identity
17125,17125,1970,2023,1,stable,No changes,identity
17127,17127,1970,2023,1,stable,No changes,identity
17129,17129,1970,2023,1,stable,No changes,identity
1713,1713,1970,2023,1,stable,No changes,identity
17131,17131,1970,2023,1,stable,No changes,identity
17133,17133,1970,2023,1,stable,No changes,identity
17135,17135,1970,2023,1,stable,No changes,identity
17137,17137,1970,2023,1,stable,No changes,identity
17139,17139,1970,2023,1,stable,No changes,identity
17141,17141,1970,2023,1,stable,No changes,identity
17143,17143,1970,2023,1,stable,No changes,identity
17145,17145,1970,2023,1,stable,No changes,identity
17147,17147,1970,2023,1,stable,No changes,identity
17149,17149,1970,2023,1,stable,No changes,identity
1715,1715,1970,2023,1,stable,No changes,identity
17151,17151,1970,2023,1,stable,No changes,identity
17153,17153,1970,2023,1,stable,No changes,identity
17155,17155,1970,2023,1,stable,No changes,identity
17157,17157,1970,2023,1,stable,No changes,identity
17159,17159,1970,2023,1,stable,No changes,identity
17161,17161,1970,2023,1,stable,No changes,identity
17163,17163,1970,2023,1,stable,No changes,identity
17165,17165,1970,2023,1,stable,No changes,identity
17167,17167,1970,2023,1,stable,No changes,identity
17169,17169,1970,2023,1,stable,No changes,identity
1717,1717,1970,2023,1,stable,No changes,identity
17171,17171,1970,2023,1,stable,No changes,identity
17173,17173,1970,2023,1,stable,No changes,identity
17175,17175,1970,2023,1,stable,No changes,identity
17177,17177,1970,2023,1,stable,No changes,identity
17179,17179,1970,2023,1,stable,No changes,identity
17181,17181,1970,2023,1,stable,No changes,identity
17183,17183,1970,2023,1,stable,No changes,identity
17185,17185,1970,2023,1,stable,No changes,identity
17187,17187,1970,2023,1,stable,No changes,identity
17189,17189,1970,2023,1,stable,No changes,identity
1719,1719,1970,2023,1,stable,No changes,identity
17191,17191,1970,2023,1,stable,No changes,identity
17193,17193,1970,2023,1,stable,No changes,identity
17195,17195,1970,2023,1,stable,No changes,identity
17197,17197,1970,2023,1,stable,No changes,identity
17199,17199,1970,2023,1,stable,No changes,identity
17201,17201,1970,2023,1,stable,No changes,identity
17203,17203,1970,2023,1,stable,No changes,identity
1721,1721,1970,2023,1,stable,No changes,identity
1723,1723,1970,2023,1,stable,No changes,identity
1725,1725,1970,2023,1,stable,No changes,identity
1727,1727,1970,2023,1,stable,No changes,identity
1729,1729,1970,2023,1,stable,No changes,identity
173,173,1970,2023,1,stable,No changes,identity
173,173,1970,2023,1,stable,No changes,identity
1731,1731,1970,2023,1,stable,No changes,identity
1733,1733,1970,2023,1,stable,No changes,identity
1735,1735,1970,2023,1,stable,No changes,identity
1737,1737,1970,2023,1,stable,No changes,identity
1739,1739,1970,2023,1,stable,No changes,identity
1741,1741,1970,2023,1,stable,No changes,identity
1743,1743,1970,2023,1,stable,No changes,identity
1745,1745,1970,2023,1,stable,No changes,identity
1747,1747,1970,2023,1,stable,No changes,identity
1749,1749,1970,2023,1,stable,No changes,identity
175,175,1970,2023,1,stable,No changes,identity
175,175,1970,2023,1,stable,No changes,identity
1751,1751,1970,2023,1,stable,No changes,identity
1753,1753,1970,2023,1,stable,No changes,identity
1755,1755,1970,2023,1,stable,No changes,identity
1757,1757,1970,2023,1,stable,No changes,identity
1759,1759,1970,2023,1,stable,No changes,identity
1761,1761,1970,2023,1,stable,No changes,identity
1763,1763,1970,2023,1,stable,No changes,identity
1765,1765,1970,2023,1,stable,No changes,identity
1767,1767,1970,2023,1,stable,No changes,identity
1769,1769,1970,2023,1,stable,No changes,identity
177,177,1970,2023,1,stable,No changes,identity
177,177,1970,2023,1,stable,No changes,identity
1771,1771,1970,2023,1,stable,No changes,identity
1773,1773,1970,2023,1,stable,No changes,identity
1775,1775,1970,2023,1,stable,No changes,identity
1777,1777,1970,2023,1,stable,No changes,identity
1779,1779,1970,2023,1,stable,No changes,identity
1781,1781,1970,2023,1,stable,No changes,identity
1783,1783,1970,2023,1,stable,No changes,identity
1785,1785,1970,2023,1,stable,No changes,identity
1787,1787,1970,2023,1,stable,No changes,identity
1789,1789,1970,2023,1,stable,No changes,identity
179,179,1970,2023,1,stable,No changes,identity
179,179,1970,2023,1,stable,No changes,identity
1791,1791,1970,2023,1,stable,No changes,identity
1793,1793,1970,2023,1,stable,No changes,identity
1795,1795,1970,2023,1,stable,No changes,identity
1797,1797,1970,2023,1,stable,No changes,identity
1799,1799,1970,2023,1,stable,No changes,identity
18033,18033,1970,2023,1,name_correction,"De Kalb County -> DeKalb County, IN",identity
18087,18087,1970,2023,1,name_correction,"Lagrange County -> LaGrange County, IN",identity
18091,18091,1970,2023,1,name_correction,"La Porte County -> LaPorte County, IN",identity
181,181,1970,2023,1,stable,No changes,identity
181,181,1970,2023,1,stable,No changes,identity
18101,18101,1970,2023,1,stable,No changes,identity
18103,18103,1970,2023,1,stable,No changes,identity
18105,18105,1970,2023,1,stable,No changes,identity
18107,18107,1970,2023,1,stable,No changes,identity
18109,18109,1970,2023,1,stable,No changes,identity
1811,1811,1970,2023,1,stable,No changes,identity
18111,18111,1970,2023,1,stable,No changes,identity
18113,18113,1970,2023,1,stable,No changes,identity
18115,18115,1970,2023,1,stable,No changes,identity
18117,18117,1970,2023,1,stable,No changes,identity
18119,18119,1970,2023,1,stable,No changes,identity
18121,18121,1970,2023,1,stable,No changes,identity
18123,18123,1970,2023,1,stable,No changes,identity
18125,18125,1970,2023,1,stable,No changes,identity
18127,18127,1970,2023,1,stable,No changes,identity
18129,18129,1970,2023,1,stable,No changes,identity
1813,1813,1970,2023,1,stable,No changes,identity
18131,18131,1970,2023,1,stable,No changes,identity
18133,18133,1970,2023,1,stable,No changes,identity
18135,18135,1970,2023,1,stable,No changes,identity
18137,18137,1970,2023,1,stable,No changes,identity
18139,18139,1970,2023,1,stable,No changes,identity
18141,18141,1970,2023,1,stable,No changes,identity
18143,18143,1970,2023,1,stable,No changes,identity
18145,18145,1970,2023,1,stable,No changes,identity
18147,18147,1970,2023,1,stable,No changes,identity
18149,18149,1970,2023,1,stable,No changes,identity
1815,1815,1970,2023,1,stable,No changes,identity
18151,18151,1970,2023,1,stable,No changes,identity
18153,18153,1970,2023,1,stable,No changes,identity
18155,18155,1970,2023,1,stable,No changes,identity
18157,18157,1970,2023,1,stable,No changes,identity
18159,18159,1970,2023,1,stable,No changes,identity
18161,18161,1970,2023,1,stable,No changes,identity
18163,18163,1970,2023,1,stable,No changes,identity
18165,18165,1970,2023,1,stable,No changes,identity
18167,18167,1970,2023,1,stable,No changes,identity
18169,18169,1970,2023,1,stable,No changes,identity
1817,1817,1970,2023,1,stable,No changes,identity
18171,18171,1970,2023,1,stable,No changes,identity
18173,18173,1970,2023,1,stable,No changes,identity
18175,18175,1970,2023,1,stable,No changes,identity
18177,18177,1970,2023,1,stable,No changes,identity
18179,18179,1970,2023,1,stable,No changes,identity
18181,18181,1970,2023,1,stable,No changes,identity
18183,18183,1970,2023,1,stable,No changes,identity
1819,1819,1970,2023,1,stable,No changes,identity
1821,1821,1970,2023,1,stable,No changes,identity
1823,1823,1970,2023,1,stable,No changes,identity
1825,1825,1970,2023,1,stable,No changes,identity
1827,1827,1970,2023,1,stable,No changes,identity
1829,1829,1970,2023,1,stable,No changes,identity
183,183,1970,2023,1,stable,No changes,identity
183,183,1970,2023,1,stable,No changes,identity
1831,1831,1970,2023,1,stable,No changes,identity
1833,1833,1970,2023,1,stable,No changes,identity
1835,1835,1970,2023,1,stable,No changes,identity
1837,1837,1970,2023,1,stable,No changes,identity
1839,1839,1970,2023,1,stable,No changes,identity
1841,1841,1970,2023,1,stable,No changes,identity
1843,1843,1970,2023,1,stable,No changes,identity
